DV_EJERCICIO;MU_CODINE;MU_NOMBRE;DV_DVIVA
2012;00909;DIPUTACIÓN;102507000.00
2013;00909;DIPUTACIÓN;83097000.00
2014;00909;DIPUTACIÓN;40382000.00
2015;00909;DIPUTACIÓN;65000.00
2016;00909;DIPUTACIÓN;181511.00
2017;00909;DIPUTACIÓN;727326.00
2018;00909;DIPUTACIÓN;778396.00
2019;00909;DIPUTACIÓN;295623.00
2020;00909;DIPUTACIÓN;1517.00
2021;00909;DIPUTACIÓN;1967.00
2021;03001;Adsubia;0.00
2020;03001;Adsubia;0.00
2019;03001;Adsubia;99721.00
2018;03001;Adsubia;128212.00
2017;03001;Adsubia;156704.00
2016;03001;Adsubia;185505.00
2015;03001;Adsubia;214000.00
2014;03001;Adsubia;213687.00
2013;03001;Adsubia;257933.00
2012;03001;Adsubia;257932.00
2012;03002;Agost;1722797.00
2013;03002;Agost;1123797.00
2014;03002;Agost;845131.00
2015;03002;Agost;0.00
2016;03002;Agost;0.00
2017;03002;Agost;0.00
2018;03002;Agost;2067.00
2019;03002;Agost;2644.00
2020;03002;Agost;1417.00
2021;03002;Agost;0.00
2021;03003;Agres;0.00
2020;03003;Agres;0.00
2019;03003;Agres;0.00
2018;03003;Agres;0.00
2017;03003;Agres;0.00
2016;03003;Agres;0.00
2015;03003;Agres;0.00
2014;03003;Agres;0.00
2013;03003;Agres;46115.00
2012;03003;Agres;83114.00
2012;03004;Aigües;241000.00
2013;03004;Aigües;927410.00
2014;03004;Aigües;920521.00
2015;03004;Aigües;878000.00
2016;03004;Aigües;878481.00
2017;03004;Aigües;878481.00
2018;03004;Aigües;878481.00
2019;03004;Aigües;878481.00
2020;03004;Aigües;878481.00
2021;03004;Aigües;726583.00
2021;03005;Albatera;0.00
2020;03005;Albatera;474006.00
2019;03005;Albatera;1933364.00
2018;03005;Albatera;2534412.00
2017;03005;Albatera;3701332.00
2016;03005;Albatera;4428982.00
2015;03005;Albatera;5168000.00
2014;03005;Albatera;5952367.00
2013;03005;Albatera;5965367.00
2012;03005;Albatera;6279367.00
2012;03006;Alcalalí;72000.00
2013;03006;Alcalalí;0.00
2014;03006;Alcalalí;0.00
2015;03006;Alcalalí;0.00
2016;03006;Alcalalí;0.00
2017;03006;Alcalalí;0.00
2018;03006;Alcalalí;0.00
2019;03006;Alcalalí;0.00
2020;03006;Alcalalí;0.00
2021;03006;Alcalalí;0.00
2021;03007;Alcocer de Planes;0.00
2020;03007;Alcocer de Planes;0.00
2019;03007;Alcocer de Planes;0.00
2018;03007;Alcocer de Planes;0.00
2017;03007;Alcocer de Planes;0.00
2016;03007;Alcocer de Planes;0.00
2015;03007;Alcocer de Planes;0.00
2014;03007;Alcocer de Planes;0.00
2013;03007;Alcocer de Planes;0.00
2012;03007;Alcocer de Planes;0.00
2012;03008;Alcoleja;28880.00
2013;03008;Alcoleja;28881.00
2014;03008;Alcoleja;0.00
2015;03008;Alcoleja;0.00
2016;03008;Alcoleja;0.00
2017;03008;Alcoleja;0.00
2018;03008;Alcoleja;0.00
2019;03008;Alcoleja;0.00
2020;03008;Alcoleja;0.00
2021;03008;Alcoleja;0.00
2021;03009;Alcoy/Alcoi;23985468.00
2020;03009;Alcoy/Alcoi;22525915.00
2019;03009;Alcoy/Alcoi;23156026.00
2018;03009;Alcoy/Alcoi;22260997.00
2017;03009;Alcoy/Alcoi;23763764.00
2016;03009;Alcoy/Alcoi;22194334.00
2015;03009;Alcoy/Alcoi;24596000.00
2014;03009;Alcoy/Alcoi;28397000.00
2013;03009;Alcoy/Alcoi;30484142.00
2012;03009;Alcoy/Alcoi;33502675.00
2012;03010;Alfafara;91532.00
2013;03010;Alfafara;80533.00
2014;03010;Alfafara;40951.00
2015;03010;Alfafara;41000.00
2016;03010;Alfafara;0.00
2017;03010;Alfafara;0.00
2018;03010;Alfafara;0.00
2019;03010;Alfafara;0.00
2020;03010;Alfafara;0.00
2021;03010;Alfafara;0.00
2021;03011;Alfàs del Pi (l');7092769.00
2020;03011;Alfàs del Pi (l');7286205.00
2019;03011;Alfàs del Pi (l');7583356.00
2018;03011;Alfàs del Pi (l');9511349.00
2017;03011;Alfàs del Pi (l');11380737.00
2016;03011;Alfàs del Pi (l');13443625.00
2015;03011;Alfàs del Pi (l');14606000.00
2014;03011;Alfàs del Pi (l');13780459.00
2013;03011;Alfàs del Pi (l');15345459.00
2012;03011;Alfàs del Pi (l');16027611.00
2012;03012;Algorfa;3787290.00
2013;03012;Algorfa;3547579.00
2014;03012;Algorfa;3017579.00
2015;03012;Algorfa;2678000.00
2016;03012;Algorfa;1460155.00
2017;03012;Algorfa;459416.00
2018;03012;Algorfa;394244.00
2019;03012;Algorfa;0.00
2020;03012;Algorfa;4.00
2021;03012;Algorfa;0.00
2021;03013;Algueña;1176.00
2020;03013;Algueña;850.00
2019;03013;Algueña;390.00
2018;03013;Algueña;0.00
2017;03013;Algueña;0.00
2016;03013;Algueña;502.00
2015;03013;Algueña;267000.00
2014;03013;Algueña;266879.00
2013;03013;Algueña;390775.00
2012;03013;Algueña;521774.00
2012;03014;Alicante/Alacant;176679288.00
2013;03014;Alicante/Alacant;151668289.00
2014;03014;Alicante/Alacant;147318203.00
2015;03014;Alicante/Alacant;118859000.00
2016;03014;Alicante/Alacant;92003177.00
2017;03014;Alicante/Alacant;83677311.00
2018;03014;Alicante/Alacant;24908873.00
2019;03014;Alicante/Alacant;24629844.00
2020;03014;Alicante/Alacant;576556.00
2021;03014;Alicante/Alacant;201973.00
2021;03015;Almoradí;764619.00
2020;03015;Almoradí;1040931.00
2019;03015;Almoradí;1321383.00
2018;03015;Almoradí;1827102.00
2017;03015;Almoradí;2583789.00
2016;03015;Almoradí;3183054.00
2015;03015;Almoradí;3883000.00
2014;03015;Almoradí;4859485.00
2013;03015;Almoradí;5632903.00
2012;03015;Almoradí;6346902.00
2012;03016;Almudaina;3089.00
2013;03016;Almudaina;0.00
2014;03016;Almudaina;0.00
2015;03016;Almudaina;0.00
2016;03016;Almudaina;0.00
2017;03016;Almudaina;0.00
2018;03016;Almudaina;0.00
2019;03016;Almudaina;0.00
2020;03016;Almudaina;0.00
2021;03016;Almudaina;0.00
2021;03017;Alqueria d'Asnar (l');0.00
2020;03017;Alqueria d'Asnar (l');0.00
2019;03017;Alqueria d'Asnar (l');0.00
2018;03017;Alqueria d'Asnar (l');0.00
2017;03017;Alqueria d'Asnar (l');0.00
2016;03017;Alqueria d'Asnar (l');0.00
2015;03017;Alqueria d'Asnar (l');0.00
2014;03017;Alqueria d'Asnar (l');0.00
2013;03017;Alqueria d'Asnar (l');0.00
2012;03017;Alqueria d'Asnar (l');0.00
2012;03018;Altea;18069764.00
2013;03018;Altea;21855532.00
2014;03018;Altea;20863246.00
2015;03018;Altea;17952000.00
2016;03018;Altea;14970518.00
2017;03018;Altea;10740783.00
2018;03018;Altea;7772478.00
2019;03018;Altea;6553684.00
2020;03018;Altea;6300145.00
2021;03018;Altea;6044275.00
2021;03019;Aspe;0.00
2020;03019;Aspe;4458.00
2019;03019;Aspe;9022.00
2018;03019;Aspe;3800.00
2017;03019;Aspe;684721.00
2016;03019;Aspe;1668771.00
2015;03019;Aspe;2606000.00
2014;03019;Aspe;5924787.00
2013;03019;Aspe;7380506.00
2012;03019;Aspe;8929505.00
2012;03020;Balones;0.00
2013;03020;Balones;0.00
2014;03020;Balones;0.00
2015;03020;Balones;0.00
2016;03020;Balones;0.00
2017;03020;Balones;0.00
2018;03020;Balones;0.00
2019;03020;Balones;0.00
2020;03020;Balones;0.00
2021;03020;Balones;0.00
2021;03021;Banyeres de Mariola;887.00
2020;03021;Banyeres de Mariola;0.00
2019;03021;Banyeres de Mariola;208.00
2018;03021;Banyeres de Mariola;518.00
2017;03021;Banyeres de Mariola;1042.00
2016;03021;Banyeres de Mariola;1168.00
2015;03021;Banyeres de Mariola;0.00
2014;03021;Banyeres de Mariola;930000.00
2013;03021;Banyeres de Mariola;1167000.00
2012;03021;Banyeres de Mariola;1496000.00
2012;03022;Benasau;107628.00
2013;03022;Benasau;107629.00
2014;03022;Benasau;102268.00
2015;03022;Benasau;52000.00
2016;03022;Benasau;21341.00
2017;03022;Benasau;0.00
2018;03022;Benasau;0.00
2019;03022;Benasau;0.00
2020;03022;Benasau;0.00
2021;03022;Benasau;0.00
2021;03023;Beneixama;0.00
2020;03023;Beneixama;0.00
2019;03023;Beneixama;28000.00
2018;03023;Beneixama;156092.00
2017;03023;Beneixama;173435.00
2016;03023;Beneixama;433447.00
2015;03023;Beneixama;483000.00
2014;03023;Beneixama;637000.00
2013;03023;Beneixama;928378.00
2012;03023;Beneixama;986377.00
2012;03024;Benejúzar;338880.00
2013;03024;Benejúzar;597880.00
2014;03024;Benejúzar;65000.00
2015;03024;Benejúzar;0.00
2016;03024;Benejúzar;438.00
2017;03024;Benejúzar;110000.00
2018;03024;Benejúzar;0.00
2019;03024;Benejúzar;0.00
2020;03024;Benejúzar;0.00
2021;03024;Benejúzar;0.00
2021;03025;Benferri;152219.00
2020;03025;Benferri;253698.00
2019;03025;Benferri;377660.00
2018;03025;Benferri;501622.00
2017;03025;Benferri;625584.00
2016;03025;Benferri;755166.00
2015;03025;Benferri;822000.00
2014;03025;Benferri;845356.00
2013;03025;Benferri;875277.00
2012;03025;Benferri;909355.00
2012;03026;Beniarbeig;777405.00
2013;03026;Beniarbeig;734289.00
2014;03026;Beniarbeig;373410.00
2015;03026;Beniarbeig;373000.00
2016;03026;Beniarbeig;391619.00
2017;03026;Beniarbeig;261368.00
2018;03026;Beniarbeig;213846.00
